Climate Bonds Initiative - amount issued  Green | Total | Amount Issued | Global

Currency,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"EUR",17,16.4,21.2,59,67,112.9,147.2,248.5,235.3,260.3
"USD",11.2,22.7,37.4,70.1,55.2,85.8,83.7,157.9,113.2,127
"CNY",0.2,0.1,17.7,15.6,22,20,17.4,60.5,74.4,79.2
"GBP",1.3,2.6,0.7,1.2,2.9,4.4,4.5,37.4,16.8,30.2
"SEK",3,1.5,3.3,4.1,8.2,13.5,13.9,14,8.2,11
"INR",,0.4,0.7,0.9,0.1,0.1,0.3,0.6,0.5,12.7
"CAD",1.1,0.6,0.9,1.5,4.8,5.4,6.3,11.5,13.8,5
"JPY",0.4,,0.1,0.9,2.5,6.6,9,9.8,6.6,10.4
"SGD",,,,0.4,0.9,3.2,3.8,10,4.8,5.6
"AUD",0.7,0.9,0.9,2.1,4.5,6.4,3.3,9,5.7,10.5
