Climate Bonds Initiative - Use of Proceeds  Green | Total | Amount Issued | Global

0,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Energy",18.3,23.8,33.2,53,53.7,87.6,105.4,206.7,166.5,205.7
"Buildings",7.7,8.7,18.1,47.5,48.3,82.4,84.2,169.6,126.7,107.7
"Transport",4.2,6,12.7,23.9,30.7,53.1,67.8,97.9,95.8,126.8
"Water",2.9,4,10.7,20,20.4,25,18.4,35.9,35,32.5
"Waste",1.2,1.6,4.4,6.1,7.6,10,7.9,25.2,24.6,29.8
"Land Use",1.5,0.6,1.7,5.3,7.3,9,15.3,30.4,27.5,37.1
"Industry",,0.7,0.1,0.2,0.8,1.9,1.4,7.9,4.3,11.3
"ICT",,,,,0.1,1.9,1.5,5.2,6.6,13.3
"Unspecified A&R",1.2,1,3.9,3.5,3.5,2.6,2.4,11.8,20.1,22.6
