Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,352.181342,346.3820929,347.5476082,357.1602306,379.332031,390.8541628,397.9718175,422.7900552,418.8638989,449.217162
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2175.394345,2172.63044,2147.547824,2214.867267,2310.144701,2403.415074,2472.543148,2634.356682,2690.560349,..
China,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,11.9,12.2,12.6,13.1,13.5,14.3,14.9,15.2,..,..
France,FRA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-14.84252684,-13.57407234,-12.84915592,-11.92046139,-14.70176914,-16.22741855,-25.42299985,-17.09109408,-19.41851471,-26.69399801
France,FRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3752.449227,3795.949887,3715.233469,3700.969565,3665.53573,3601.765708,3224.467709,3470.002973,3102.403109,3138.35191
France,FRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,13.2,13.3,14.2,14.1,15.2,15.5,16.8,16.2,..,..
Germany,DEU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-23.08007963,-22.47159911,-22.04450483,-23.50207042,-26.23976389,-31.19577909,-36.57137645,-33.09153436,-34.89820061,-42.45484544
Germany,DEU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3794.447203,3780.850276,3765.217999,3763.194042,3659.229245,3570.881593,3349.190123,3466.917745,3236.728452,2947.21898
Germany,DEU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,14,14.6,14.2,15.2,16,17.1,18.5,17.6,..,..
Italy,ITA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-19.47966884,-16.97784492,-18.05036339,-18.87422848,-20.12302983,-22.02755097,-30.61374913,-21.60803195,-21.96233311,-28.35879629
